Term,Definition,Category,associatedMaterial
Irony,A literary device used to create a contrast between what is expected and what actually happens in a story.,story and narrative,
Conflict,"The tension or struggle between opposing forces in a story, often the driving force behind the plot.",story and narrative,
Third Person Limited,A point of view in which the narrator has access to the thoughts and feelings of only one character in a story.,story and narrative,
Third Person Omniscient,A point of view in which the narrator has access to the thoughts and feelings of multiple characters in a story.,story and narrative,
Dialogue Beat,"A physical action or movement that occurs during a conversation, often used to convey emotion or reveal character traits.",story and narrative,
Dialogue Cue,"A word or phrase that cues the reader to a specific tone or emotion in a conversation, often used to enhance characterization.",story and narrative,
Empathy,"The ability to understand and share the feelings of another character or person, often used to create emotional connections with readers.",story and narrative,
Foil,"A character who contrasts with another character in order to highlight their differences, often used to enhance characterization.",story and narrative,
Redemptive Character Arc,"The journey or transformation that a character undergoes from a negative to a positive state, often resulting in redemption or forgiveness.",story and narrative,
Transformational Character Arc,"The journey or transformation that a character undergoes from a positive to a negative state, often resulting in loss or tragedy.",story and narrative,
Hero's Journey,A narrative structure used in storytelling that follows a hero or protagonist on a journey of self-discovery and growth.,story and narrative,
Moral,"A lesson or principle that can be derived from a story, often related to ethics or values.",story and narrative,
Symbol,"An object, image, or action in a story that represents a larger idea or concept.",story and narrative,
Metaphor,A literary device used to compare two things that are not alike in order to create deeper meaning or understanding.,story and narrative,
Simile,A literary device used to compare two things using 'like' or 'as' in order to create deeper meaning or understanding.,story and narrative,
Pathos,"The emotional appeal of a story, often used to evoke feelings of sympathy or empathy in the reader.",story and narrative,
Catharsis,The emotional release or purging that occurs in a reader or audience member after experiencing a story.,story and narrative,
Verisimilitude,"The appearance of being true or real in a story, often achieved through accurate and detailed descriptions of characters and settings.",story and narrative,
Round Character,"A character who is fully developed and multi-dimensional, often exhibiting a range of emotions, motivations, and experiences.",story and narrative,
Static Character,"A character who remains largely unchanged throughout a story, often serving as a foil or contrast to other characters.",story and narrative,
Antihero,"A protagonist who lacks traditional heroic qualities or values, often displaying flaws or questionable behavior.",story and narrative,
Prologue,"An introductory section of a story, often used to set up the plot or provide context for the reader.",story and narrative,
Epilogue,"A concluding section of a story, often used to provide closure or an update on the characters and events.",story and narrative,
Tone Shift,"A sudden or gradual change in the attitude or emotion conveyed by a story, often used to create contrast or emphasize a particular theme or event.",story and narrative,
Red Herring,"A literary technique used to create a false clue or distraction in a story, often used to mislead or confuse the reader.",story and narrative,
MacGuffin,"A literary technique used to create a plot device or object that motivates the characters and drives the story, often without having any intrinsic value or significance.",story and narrative,
Unreliable Narrator,"A literary technique used to create ambiguity or doubt in the reader's interpretation of the story, often through a narrator whose perspective is questionable or biased.",story and narrative,
Dialogue Attribution,"The process of indicating who is speaking in a conversation, often using tags, action beats, or other cues.",story and narrative,
Voice,"The distinct style or personality conveyed by a writer or narrator in a story, often used to create a unique tone or perspective.",story and narrative,
Tone of Voice,"The emotional or attitudinal quality conveyed by a character's speech, often used to reveal their personality or intentions.",story and narrative,
Flash-forward,A literary technique used to present events that will occur in the future of a story.,story and narrative,
Point of No Return,"The point in a story where a character makes a decision or takes an action that cannot be undone, often leading to significant consequences or conflicts.",story and narrative,
Rising Tension,"The gradual buildup of tension and conflict in a story, often leading up to the climax.",story and narrative,
Fallacy,"A mistaken belief or argument in a story, often used to create tension or reveal character flaws.",story and narrative,
Allegory,A literary technique used to represent abstract ideas or moral concepts through a story or character.,story and narrative,
Character Arc,"The journey or transformation that a character undergoes throughout a story, often resulting in personal growth or change.",story and narrative,
Chekhov's Gun,A literary technique used to create foreshadowing and suspense by introducing a seemingly insignificant element or detail that becomes important later in the story.,story and narrative,
Character Motivation,"The reasons why a character acts or behaves in a certain way, often driving the plot or conflicts in a story.",story and narrative,
Suspense,"A literary technique used to create tension or anticipation in a story, often through the use of foreshadowing or cliffhangers.",story and narrative,
Subplot,"A secondary plot or storyline in a story, often used to explore additional themes or characters.",story and narrative,
Cliffhanger,A literary technique used to create suspense and anticipation by ending a chapter or section of a story at a critical moment.,story and narrative,
Dialogue Tag,"A word or phrase used to indicate who is speaking in a conversation, often used to convey tone or emotion.",story and narrative,
Exposition,"The process of providing background information or context in a story, often used to set up the plot and characters.",story and narrative,
Dynamic Character,"A character who undergoes significant change or development throughout a story, often resulting in a new perspective or outlook.",story and narrative,
Flat Character,"A character who lacks depth or complexity, often serving as a stereotype or caricature.",story and narrative,
Plot,"The sequence of events that make up a story, often including an introduction, rising action, climax, falling action, and resolution.",story and narrative,
Characterization,"The process of creating and developing characters in a story, often including their physical appearance, personality, and backstory.",story and narrative,
Setting,"The time and place in which a story takes place, often used to establish the mood and tone of the story.",story and narrative,
Tone,"The attitude or emotion conveyed by the author or narrator in a story, often affecting the reader's interpretation of the events and characters.",story and narrative,
Mood,"The emotional atmosphere created by a story, often influenced by the setting, tone, and style of writing.",story and narrative,
Symbolism,A literary technique used to represent ideas or concepts through the use of symbols or symbolic language.,story and narrative,
Imagery,"Descriptive language that creates mental images in the reader's mind, often used to enhance the setting and atmosphere of a story.",story and narrative,
Irony,A literary technique used to create a contrast between what is expected and what actually happens in a story.,story and narrative,
Digital Painting,"A type of digital illustration that is used to create detailed and realistic paintings, often using brushes and other tools that simulate traditional painting techniques.",digital art,
Layer Masking,"A technique used in digital concept art that allows for the selective hiding or revealing of parts of an image or layer, using a grayscale mask to control opacity.",digital art,
Keyframe,A type of digital concept art that involves creating a key image or frame that defines the main action or movement in an animation or game.,animation,
Digital Inking,"A type of digital illustration that is used to create clean, precise outlines and details, often used in comics and graphic novels.",digital art,
Dynamic Posing,"A type of digital concept art that involves creating dynamic and expressive poses for characters, often used to convey emotion or action.",animation,
Visual Development,"A type of digital concept art that involves creating visual designs and concepts for a story, film, or game, often used to establish a unique and cohesive visual style.",animation,
Composition,"A principle of digital concept art that involves arranging elements, such as characters, objects, and backgrounds, in a visually pleasing and effective way.",visual art,
Reference Gathering,"A process used in digital concept art that involves collecting reference material, such as photos and videos, to inform and inspire the design process.","animation,concept development",
Color Grading,A technique used in digital concept art and post-production that involves adjusting the color and tone of an image or video to create a specific mood or effect.,"animation,vfx",
Matte Painting,A type of digital concept art that is used to create a background or landscape that would be too expensive or impossible to create in real life.,"digital art,animation,film",
Storytelling,"A principle of digital concept art that involves using visual elements, such as characters, environments, and props, to convey a narrative or story.","digital art,animation,film",
Digital Collage,A type of digital concept art that involves combining multiple images and elements to create a new and cohesive design.,"digital art,visual design,concept art",
Speedpainting,"A type of digital painting that is completed in a short amount of time, often used to generate ideas and explore concepts quickly.","digital art,visual design,concept art",
Digital Sketching,A type of digital drawing that is used to create sketches or rough drafts of an idea or design.,"digital art,visual design,concept art",
Environment Design,A type of digital concept art that involves designing the environment or world in which a story or game takes place.,"digital art,visual design,concept art",
Character Design,"A type of digital concept art that involves designing the appearance and personality of a character for a story, game, or other media.","digital art,visual design,concept art",
Creature Design,"A type of digital concept art that involves designing creatures, monsters, or other non-human characters for various media.","digital art,visual design,concept art",
Vehicle Design,"A type of digital concept art that involves designing vehicles, such as spaceships, cars, or planes, for various media.","digital art,visual design,concept art",
Prop Design,"A type of digital concept art that involves designing objects, such as weapons, tools, or furniture, for various media.","digital art,visual design,concept art",
Color Script,"A type of digital concept art that is used to plan the overall color scheme and mood of a film, game, or other media.","digital art,visual design,concept art",
Mood Board,"A type of digital concept art that is used to collect visual references and inspiration for a project, such as images, colors, and textures.","digital art,visual design,concept art",
Rough Draft,"A type of digital concept art that is used to create a preliminary version of an idea or design, often used as a starting point for further development.","digital art,visual design,concept art",
Silhouette,"A type of digital concept art that is used to create a simple, black and white outline of a character or object, often used to quickly explore different shapes and designs.","digital art,visual design,concept art",
Thumbnail Sketching,"A type of digital sketching that involves creating small, quick sketches to explore different ideas and compositions.","digital art,visual design,concept art",
Value Study,A type of digital concept art that is used to explore different values and shades of light and dark in an image or design.,"digital art,visual design,concept art",
3D Modeling,"A type of digital concept art that involves creating a 3D model of an object or environment, often used in film, games, and other media.","3d design,animation",
Sculpting,A type of digital concept art that involves using 3D modeling tools to sculpt and shape an object or character.,"3d design,animation",
Texture Painting,"A type of digital painting that involves creating textures, such as wood grain or metal, on a 3D model or environment.","3d design,animation",
Lighting Design,A type of digital concept art that involves designing the lighting and shadows for a scene or environment.,"3d design,animation",
Selection,A tool in digital illustration and design that allows for the highlighting or picking of specific parts of an image or layer for editing or manipulation.,digital art,
Stroke,"The line or outline of a shape or path in digital illustration and design, often used to create a defined edge or contour.",digital art,
Texture,"The visual or tactile quality of a surface or material, often created in digital illustration and design using brushes, gradients, and patterns.",digital art,
Vector,"A type of digital image that uses mathematical formulas to define and create shapes and paths, allowing for easy scaling and manipulation.",digital art,
Wacom Tablet,A digital drawing tablet used in digital illustration and design that allows for precise and intuitive control over drawing and painting tools.,digital art,
Layer Mask,"A tool in digital illustration and design that allows for the selective hiding or revealing of parts of an image or layer, using a grayscale mask to control opacity.",digital art,
Opacity Mask,"A tool in digital illustration and design that allows for the selective hiding or revealing of parts of an image or layer, using a grayscale mask to control opacity.",digital art,
Color Picker,A tool in digital illustration and design that allows for the selection and manipulation of specific colors or shades.,digital art,
Filter,"A digital effect or adjustment applied to an image or layer, often used in digital illustration and design to enhance or alter the appearance of an image.",digital art,
Lasso Tool,A selection tool in digital illustration and design that allows for freehand selection of specific parts of an image or layer.,digital art,
Paint Bucket Tool,A digital painting tool used in programs like Adobe Photoshop that allows for the filling of a selected area with a specific color or pattern.,digital art,
Clone Stamp Tool,A digital painting tool used in programs like Adobe Photoshop that allows for the duplication of a selected area or object in an image or layer.,digital art,
Burn Tool,A digital painting tool used in programs like Adobe Photoshop that allows for the darkening of specific areas of an image or layer.,digital art,
Concept Art,"A type of digital illustration that is used to visualize ideas, designs, and concepts for various media, such as films, video games, and comics.","digital art,visual design,concept art",
Matte Painting,A type of digital illustration that is used to create a background or landscape that would be too expensive or impossible to create in real life.,"digital art,visual design,concept art",
Visual Effects,"The use of computer-generated imagery, special effects, and other techniques to enhance the visual appearance of a film, animation, or video production.","VFX,animation,film",
Walk Cycle,"A looping animation of a character walking or running, used in video games, animation, and other media.","3d design,animation",
Wireframe,"A simplified representation of a 3D model, showing only its basic structure and shape, often used in 3D modeling and animation.","3d design,animation",
Z-Depth,"A technique used in 3D rendering that assigns a depth value to each pixel in an image or animation, allowing for the creation of more realistic and accurate depth effects.","3d design,animation",
Brush Tool,A digital painting tool used in programs like Adobe Photoshop that simulates the effect of painting with a brush on a canvas.,digital art,
Clipping Mask,A tool in digital illustration and design that allows a layer to be masked by the shape of another layer.,digital art,
Color Blocking,A technique used in digital illustration and design to break down an image into its basic color shapes.,digital art,
Gradient,"A gradual transition between two or more colors or shades, often used in digital illustration and design to create depth and dimension.",digital art,
Halftone,A technique used in digital illustration and design to create the appearance of a continuous-tone image by using dots of varying size and spacing.,digital art,
Layer,A fundamental component of digital illustration and design that allows different elements of an image to be separated and manipulated independently.,digital art,
Line Art,"An image that consists of outlines and shapes, often used as a basis for coloring and shading in digital illustration.",digital art,
Mask,A tool in digital illustration and design that allows for the selective hiding or revealing of parts of an image or layer.,digital art,
Opacity,"The degree to which an image or layer is transparent or opaque, often used in digital illustration and design to control the visibility and blending of layers.",digital art,
Pattern,"A repeating design element or motif, often used in digital illustration and design to create texture and visual interest.",digital art,
Pen Tool,A digital drawing tool used in programs like Adobe Illustrator that allows for precise and customizable paths and shapes.,digital art,
Pixel,"The smallest unit of a digital image, often used in digital illustration and design to create and manipulate images at a granular level.",digital art,
Resolution,"The number of pixels or dots per inch in a digital image, affecting the quality and detail of an image or illustration.",digital art,
Pivot Point,"The point around which an object or character rotates or moves, often used in animation and rigging to control movement and behavior.",animation,
Pose-to-Pose Animation,"A technique used in animation that involves creating key poses or frames first, and then filling in the intermediate movements and actions.",animation,
Rendering,The process of generating the final 2D or 3D image or animation from a digital model or design.,animation,
Shape Tweening,"A technique used in animation that involves transforming the shape of an object or character over time, creating a smooth and fluid motion.",animation,
Speed Lines,"A visual effect used in animation and comics to convey motion and speed, often represented as lines trailing behind an object or character in motion.",animation,
Squash and Stretch,"A principle of animation that involves exaggerating the shape and volume of an object or character during movement, creating a sense of weight and elasticity.",animation,
Storyboarding,"The process of creating a visual representation of a story or concept, often used in animation, film, and video production to plan and organize the narrative.",animation,
Timing,"A principle of animation that involves controlling the speed and timing of movements to create a sense of weight, energy, and emotion.",animation,
Tonal Range,"The range of tones or values in an image or animation, affecting the mood and composition of a scene.",animation,
Tracking,A technique used in compositing that involves matching the movement and position of an element or layer to a specific point or object in a scene.,animation,
Tweening,"A technique used in animation that generates intermediate frames between two keyframes, creating the illusion of smooth and fluid motion.",animation,
Typography,"The art and technique of designing and arranging type, used in motion design and graphic design to convey meaning and emotion.",animation,
Vanishing Point,"A point in perspective drawing and animation where parallel lines appear to converge, creating the illusion of depth and distance.",animation,
Velocity,The speed and direction of movement of an object or character in an animation or motion design project.,animation,
Camera Shake,"A visual effect that simulates the movement and instability of a hand-held camera, often used to create a sense of realism and immediacy.",animation,
Alpha Channel,"A digital image or video channel that represents transparency or opacity, often used in compositing and visual effects.",animation,
Ambient Occlusion,A lighting technique used in 3D rendering that simulates the subtle shadows and shading created by objects in close proximity.,animation,
Kinematics,"The study of the motion of objects or systems, often used in animation and robotics to simulate and control movement.",animation,
Path Animation,A technique used in animation that involves animating an object or character along a predetermined path or trajectory.,animation,
Rigging,"The process of creating a skeleton or control structure for a 3D model or character, allowing for easier manipulation and animation of movement.",animation,
Shader,A computer program used in 3D rendering to simulate the appearance and behavior of materials and lighting in a scene.,animation,
Sound Design,"The process of creating and manipulating audio elements, such as music, sound effects, and dialogue, to enhance the emotional impact and communication of information in an animation or video.",animation,
Storyboard,"A visual representation of the key elements and shots in an animation or film, used to plan and organize the production process.",animation,
Soundtrack,"The collection of audio elements used in an animation or film, including music, sound effects, and dialogue.","animation,film",
Sync Sound,"Audio recorded during filming or animation that matches the visual action and movement on screen, creating a more realistic and immersive experience.",animation,
Title Sequence,"The opening sequence of an animation or film, often used to introduce the title and main characters, and set the tone and mood of the production.","animation,film",
Track Matte,A technique used in compositing that involves using a matte or alpha channel to control the visibility or appearance of an element or layer.,"animation, compositing",
Flipbook Animation,"A traditional animation technique that involves drawing sequential images on paper or cards, creating the illusion of motion when flipped quickly.",animation,
Line of Action,A principle of animation that involves creating a line or path to guide the movement and gesture of a character or object.,animation,
Motion Graphics,"Animated graphics used in motion design, often used to explain complex concepts or ideas.",animation,
Particle Effects,"A visual effect that simulates the movement and behavior of particles, such as fire, smoke, or dust.",animation,
Secondary Action,"A principle of animation that involves adding secondary movements or actions to a primary motion, creating a sense of depth and complexity.",animation,
Staging,A principle of animation that involves arranging elements or characters in a scene to create clear and compelling compositions.,animation,
Visual Hierarchy,"A principle of design that involves organizing elements in order of importance or significance, creating a clear and effective communication of information.",animation,
Keyframe,"A specific frame in an animation or video that marks a significant change in movement or behavior, used to control and manipulate the timing and motion of an animation.",animation,
Follow-Through,"A principle of animation that involves animating the trailing parts of an object or character to continue moving after the primary action has stopped, creating a sense of weight and momentum.",animation,
Easing,"A principle of animation that involves animating movement with varying degrees of acceleration and deceleration, creating a more natural and realistic motion.",animation,
Chromatic Aberration,"A visual effect that simulates the distortion of colors in an image or animation, often used to create a retro or glitchy look.","VFX, camera",
Camera Movement,"The movement and positioning of the camera in an animation or video, affecting the composition and meaning of a shot.","animation,film,camera",
Ease-In/Ease-Out,"A principle of animation that involves starting and ending a movement gradually, creating a more natural and realistic motion.",animation,
Golden Ratio,"A mathematical principle of design that involves creating proportions that are aesthetically pleasing and balanced, often used in graphic design and motion design.",visual design,
Kinetic Typography,A style of motion design that involves animating text to create dynamic and engaging visuals.,"motion design,animation",
Looping Animation,"An animation that repeats seamlessly, often used in motion graphics and UI design.","motion design,animation",
Motion Blur,"The blurring effect that occurs in moving objects or camera movements in a film, animation, or video, creating a sense of motion and speed.",camera,
Motion Design,"The art and technique of combining graphic design and animation to create visually compelling and informative videos for advertising, branding, and other purposes.","motion design,animation",
Overlapping Action,"A principle of animation that involves animating different parts of an object or character with varying timing, creating a sense of weight and dimension.",animation,
Parallax,A technique used in motion design that involves animating multiple layers of a scene to create a sense of depth and movement.,,
Persistence of Vision,"The phenomenon of the human eye retaining an image for a short period of time after it has disappeared, allowing for the illusion of motion in animation and film.",,
Repetition,A principle of design that involves repeating elements or patterns to create visual interest and harmony.,,
Rhythm,A principle of design that involves creating a sense of movement and flow through the repetition and variation of elements.,,
Scale,A principle of design that involves manipulating the size of elements to create contrast and emphasis.,,
Global Illumination,"A lighting technique used in 3D rendering that simulates the indirect lighting and reflections in a scene, creating a more realistic and immersive environment.",,
Matchmoving,"A technique used in film and animation that involves tracking the movement and behavior of a camera in live-action footage, allowing for the insertion of 3D models and other digital elements.",,
Motion Capture,"A technique used in film, animation, and video games to capture the movement and behavior of actors or performers, using specialized hardware and software.",,
Photogrammetry,A technique used in 3D modeling and environmental design that involves using photographs and specialized software to create accurate 3D models of real-world objects and environments.,,
Render Passes,"Separate layers or elements of a 3D rendering that can be edited and composited individually, allowing for greater creative control and flexibility in post-production.",,
Render Queue,"A feature in 3D rendering software that allows for the batching and scheduling of multiple rendering jobs, allowing for faster and more efficient rendering times.",,
Time Remapping,"A technique used in video editing and animation that involves changing the speed and timing of a clip or sequence, often used for creative effect.",,
Traditional Animation,"A technique used in animation that involves drawing or painting each frame of an animation by hand, creating a distinct and expressive look.",,
Vertex Animation,A technique used in 3D animation that involves manipulating the individual vertices of a 3D model to create movement and deformation.,,
